enrolldt,price,downpmt,monthdue,pmttype,use,age,gender,default
19970529,1047.53,35,5.89,1,0,22,1,1
19970810,480.43,50,4.28,1,3,33,1,1
19970206,1228,30,5.5,1,1,28,2,1
19970312,1228,50,5.5,1,0,35,2,1
19970418,1129,50,11,1,0,24,1,1
19970429,809,50,2.75,1,0,25,1,1
19970510,1108,30,5.5,1,0,20,2,1
19970512,979,0,5.5,1,1,22,1,1
19970626,979,40,17,1,0,24,2,1
19970304,999,40,5.5,1,0,29,2,1
19970429,859,35,5.5,1,0,35,1,1
19970104,859,5,5.5,1,0,32,2,1
19970106,599,26,5.5,1,0,23,2,1
19970108,859,5,5.5,1,0,21,1,1
19970108,859,50,5.5,1,0,26,1,1
19970128,599,26,5.5,1,0,35,1,1
19970128,599,26,5.5,1,0,0,1,1
19970204,1108,60,5.5,1,0,34,2,1
19970118,859,5,5.5,1,0,31,1,1
19970315,859,51,5.5,1,3,32,1,1
19970409,859,35,5.5,1,1,22,2,1
19970328,837.81,50,5.89,1,0,33,2,1
19970520,1047.53,40,5.89,1,0,22,1,1
19970619,2523.06,50,11,1,0,29,2,1
19970731,2202.06,40,4.28,1,0,34,2,1
19971013,979,5,5.5,1,0,26,1,1
19980228,1148,100,20,1,0,23,2,1
19980628,699,29,6,1,0,39,2,1
19970327,640.93,50,5.89,1,1,24,1,1
19970218,979,40,5.5,1,0,25,1,1
